               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10021,             0.02675,            0.042015,          0.00055364,             0.11927,           0.0016296,          0.00035943,            0.082997,            0.018443,            0.029958,            0.070265,           0.0033038,           0.0033038
                   1,            0.085619,            0.024687,            0.031445,           0.0017025,             0.26486,           0.0029938,          0.00060721,            0.082444,             0.01515,            0.026737,            0.040134,           0.0065058,           0.0065058
                   2,            0.083636,            0.022192,            0.027725,             0.77392,            0.052147,            0.035829,           0.0090035,            0.074351,            0.014541,            0.022158,           0.0098707,           0.0095757,           0.0095757
                   3,              0.0791,            0.019958,            0.024634,              0.7953,            0.069018,             0.07832,             0.02203,            0.071078,            0.014273,            0.019347,            0.009406,            0.009406,            0.009406
                   4,            0.072953,            0.019787,            0.020148,             0.39413,             0.10475,             0.10583,             0.03269,            0.066268,            0.013046,            0.018644,            0.009406,            0.009406,            0.009406
                   5,            0.069802,            0.019126,            0.021841,             0.14198,             0.33718,             0.13736,            0.034534,            0.066612,            0.012551,            0.020148,            0.009208,            0.009208,            0.009208
                   6,            0.068583,             0.01909,            0.019727,             0.14429,             0.30803,             0.16051,            0.047372,            0.061206,            0.012821,            0.016127,             0.00901,             0.00901,             0.00901
                   7,            0.065034,            0.019318,            0.018775,             0.16809,             0.24452,             0.10875,            0.025697,            0.067103,            0.013423,            0.032104,            0.008812,            0.008812,            0.008812
                   8,            0.064913,            0.018538,            0.016845,             0.25668,             0.27091,             0.19572,            0.053878,            0.060264,            0.012451,            0.015818,            0.008614,            0.008614,            0.008614
                   9,            0.064519,            0.018964,            0.016507,             0.23485,              0.2799,              0.1968,            0.068648,            0.059986,            0.012442,            0.019017,            0.008416,            0.008416,            0.008416
                  10,            0.063115,            0.019212,            0.016193,             0.22702,              0.2945,             0.21284,             0.06976,            0.059057,            0.012623,            0.016461,            0.008218,            0.008218,            0.008218
                  11,            0.061465,            0.018275,            0.014205,              0.3166,             0.23505,             0.21635,            0.077653,            0.055828,            0.012304,            0.016785,             0.00802,             0.00802,             0.00802
                  12,            0.060941,            0.017981,            0.015265,             0.54959,             0.20855,             0.21229,            0.067875,            0.057516,             0.01232,            0.017146,            0.007822,            0.007822,            0.007822
                  13,            0.060336,            0.018681,            0.014323,             0.19088,             0.30627,             0.16155,            0.049945,            0.058914,            0.012565,            0.017122,            0.007624,            0.007624,            0.007624
                  14,             0.05997,            0.018571,            0.013994,             0.20433,             0.34277,             0.20115,            0.068092,            0.056696,            0.011976,            0.018796,            0.007426,            0.007426,            0.007426
                  15,            0.058635,            0.018415,            0.013476,             0.28188,             0.35237,             0.25281,            0.083637,            0.058186,            0.011827,            0.016188,            0.007228,            0.007228,            0.007228
                  16,            0.058254,            0.018232,            0.013078,             0.27292,             0.32548,             0.21852,            0.066992,            0.055338,            0.012279,            0.016756,             0.00703,             0.00703,             0.00703
                  17,            0.058037,            0.018352,            0.013018,             0.25929,             0.36139,              0.2495,             0.07333,            0.057062,             0.01232,            0.014228,            0.006832,            0.006832,            0.006832
